,Feature,RFECV Importance
0,contentFeaturization_visualContentDensity##low,8
1,contentFeaturization_visualContentDensity##high,7
2,contentFeaturization_visualAttentionSpread##low,10
3,contentFeaturization_visualAttentionSpread##high,10
4,contentFeaturization_foregroundColors##dark_pink,2
5,contentFeaturization_foregroundColors##pink,3
6,contentFeaturization_foregroundColors##dark_gray,7
7,contentFeaturization_foregroundColors##dark_brown,5
8,contentFeaturization_foregroundColors##khaki,3
9,contentFeaturization_foregroundColors##orange,4
10,contentFeaturization_foregroundColors##black,4
11,contentFeaturization_foregroundColors##brown,6
12,contentFeaturization_backgroundColors##off_white,4
13,contentFeaturization_backgroundColors##khaki,8
14,contentFeaturization_backgroundColors##orange,5
15,contentFeaturization_backgroundColors##brown,6
16,contentFeaturization_backgroundColors##white,3
17,contentFeaturization_tags##underpants,6
18,contentFeaturization_tags##bodysuit,8
19,contentFeaturization_tags##sports_bra,3
20,contentFeaturization_tags##face,9
21,contentFeaturization_tags##dress,5
22,contentFeaturization_tags##leg,10
23,contentFeaturization_tags##stand,8
24,contentFeaturization_tags##tan,6
25,contentFeaturization_tags##skin,3
26,contentFeaturization_tags##active_wear,6
27,contentFeaturization_tags##thigh,10
28,contentFeaturization_tags##back,9
29,contentFeaturization_tags##underwear,1
30,contentFeaturization_tags##hair,4
31,contentFeaturization_tags##blonde,10
32,contentFeaturization_tags##leggings,9
33,contentFeaturization_tags##tank_top,9
34,contentFeaturization_tags##lace,8
35,contentFeaturization_tags##shorts,7
36,contentFeaturization_tags##waist,7
37,contentFeaturization_tags##camisole,5
38,contentFeaturization_tags##posing,7
39,contentFeaturization_tags##lingerie,2
40,contentFeaturization_tags##corset,5
41,contentFeaturization_tags##holding,9
42,contentFeaturization_tags##style,4